date,season,team1,team2,elo_team1,elo_team2,prob_team1,prob_team2
9/26/1920,1920,RII,STP,1503.947,1300,0.824651201,0.175348799
10/3/1920,1920,DAY,COL,1493.002,1504.908,0.575819124,0.424180876
10/3/1920,1920,RII,MUN,1516.108,1478.004,0.64417109,0.35582891
10/3/1920,1920,CHI,MUT,1368.333,1300,0.682985571,0.317014429
10/3/1920,1920,CBD,PTQ,1504.688,1300,0.825267151,0.174732849
10/3/1920,1920,BFF,WBU,1478.004,1300,0.802000301,0.197999699
10/3/1920,1920,AKR,WHE,1503.42,1300,0.824212097,0.175787903
10/3/1920,1920,RCH,ABU,1503.42,1300,0.824212097,0.175787903
10/10/1920,1920,BFF,ABU,1489.757,1292.486,0.819024634,0.180975366
10/10/1920,1920,DHR,CLP,1499.667,1300,0.821060013,0.178939987
10/10/1920,1920,AKR,COL,1515.278,1482.475,0.637146242,0.362853758
10/10/1920,1920,CHT,ARI,1300,1493.002,0.32369581,0.67630419
10/10/1920,1920,CBD,TLM,1516.803,1300,0.835096725,0.164903275
10/10/1920,1920,DAY,CTI,1515.434,1464.506,0.660906212,0.339093788
10/10/1920,1920,CHI,KEW,1386.533,1300,0.705222821,0.294777179
10/10/1920,1920,RCH,FTP,1510.934,1300,0.830391409,0.169608591
10/10/1920,1920,RII,HAM,1542.135,1444.259,0.718612516,0.281387484
10/17/1920,1920,CHT,DHR,1305.377,1510.196,0.308986267,0.691013733
10/17/1920,1920,DAY,HAM,1510.527,1426.99,0.701624941,0.298375059
10/17/1920,1920,BFF,MCK,1502.536,1300,0.823473595,0.176526405
10/17/1920,1920,ARI,MUT,1487.625,1281.8,0.826208954,0.173791046
10/17/1920,1920,RII,CHI,1559.405,1402.774,0.781735803,0.218264197
10/17/1920,1920,AKR,CNC,1540.552,1300,0.853071677,0.146928323
10/17/1920,1920,FTW,COL,1300,1457.2,0.370342944,0.629657056
10/17/1920,1920,CBD,CTI,1527.799,1469.414,0.670458863,0.329541137
10/17/1920,1920,RCH,UTI,1523.607,1300,0.840419871,0.159580129
10/24/1920,1920,DAY,CBD,1531.807,1540.777,0.579941831,0.420058169
10/24/1920,1920,CHT,CHI,1343.231,1438.927,0.455939487,0.544060513
10/24/1920,1920,DHR,COL,1472.342,1421.606,0.660658473,0.339341527
10/24/1920,1920,BFF,TLM,1512.265,1289.004,0.840152569,0.159847431
10/24/1920,1920,RII,ARI,1523.251,1498.252,0.626697735,0.373302265
10/24/1920,1920,RCH,SYR,1513.225,1300,0.83224075,0.16775925
10/24/1920,1920,AKR,CTI,1547.362,1456.436,0.710452392,0.289547608
10/31/1920,1920,CTI,COL,1445.191,1409.059,0.641564866,0.358435134
10/31/1920,1920,ARI,DHR,1483.337,1484.888,0.590308732,0.409691268
10/31/1920,1920,LOG,HAM,1300,1405.71,0.441680256,0.558319744
10/31/1920,1920,BFF,RCH,1522.621,1521.291,0.594313478,0.405686522
10/31/1920,1920,CBD,AKR,1543.215,1558.607,0.570910419,0.429089581
10/31/1920,1920,RII,CHT,1538.166,1321.666,0.834856389,0.165143611
10/31/1920,1920,DAY,CNC,1529.368,1293.191,0.849886888,0.150113112
10/31/1920,1920,RCK,CHI,1300,1460.492,0.36593491,0.63406509
11/7/1920,1920,ZAN,COL,1300,1394.807,0.45720921,0.54279079
11/7/1920,1920,CHT,ARI,1313.938,1507.955,0.322418041,0.677581959
11/7/1920,1920,PUL,HAM,1300,1421.25,0.419749688,0.580250312
11/7/1920,1920,RCH,UTI,1501.719,1310.382,0.813906217,0.186093783
11/7/1920,1920,CTI,CBD,1459.443,1515.204,0.513292857,0.486707143
11/7/1920,1920,RII,CHI,1545.894,1484.349,0.67446539,0.32553461
11/7/1920,1920,BFF,ATN,1542.193,1300,0.854251742,0.145748258
11/11/1920,1920,THO,RII,1300,1540.573,0.266846906,0.733153094
11/11/1920,1920,CHL,CHI,1300,1489.67,0.32790887,0.67209113
11/14/1920,1920,ARI,CNC,1516.399,1285.709,0.84581252,0.15418748
11/14/1920,1920,BFF,COL,1551.359,1416.441,0.759660756,0.240339244
11/14/1920,1920,GAR,HAM,1300,1426.924,0.411815995,0.588184005
11/14/1920,1920,RII,DAY,1533.462,1536.85,0.587748899,0.412251101
11/14/1920,1920,FTW,DHR,1335.595,1460.271,0.414954033,0.585045967
11/14/1920,1920,RCH,ATN,1511.868,1290.834,0.838423423,0.161576577
11/14/1920,1920,MNM,CHI,1300,1508.566,0.304399964,0.695600036
11/14/1920,1920,CBD,CHT,1545.558,1305.494,0.852719227,0.147280773
11/14/1920,1920,CTI,AKR,1429.088,1586.618,0.36990008,0.63009992
11/21/1920,1920,ZAN,COL,1278.366,1400.53,0.418468764,0.581531236
11/21/1920,1920,AKR,DAY,1582.65,1574.232,0.604111931,0.395888069
11/21/1920,1920,CHI,HAM,1516.489,1418.534,0.718704463,0.281295537
11/21/1920,1920,CTI,TLM,1433.056,1278.649,0.779543521,0.220456479
11/21/1920,1920,BFF,CBD,1567.27,1553.555,0.611380777,0.388619223
11/21/1920,1920,ARI,LAN,1524.675,1300,0.841242668,0.158757332
11/21/1920,1920,RCH,ROS,1474.362,1300,0.798650051,0.201349949
11/25/1920,1920,CHB,HAM,1300,1402.343,0.446465096,0.553534904
11/25/1920,1920,ELY,COL,1300,1398.043,0.452590156,0.547409844
11/25/1920,1920,DAY,DHR,1554.012,1457.677,0.716815309,0.283184691
11/25/1920,1920,CHT,CHI,1297.498,1532.679,0.272963105,0.727036895
11/25/1920,1920,RCH,ATN,1484.651,1328.34,0.781421337,0.218578663
11/25/1920,1920,AKR,CBD,1602.871,1571.135,0.635725041,0.364274959
11/28/1920,1920,CHT,THO,1287.638,1307.111,0.565146176,0.434853824
11/28/1920,1920,DHR,LAN,1439.909,1292.402,0.772641769,0.227358231
11/28/1920,1920,ROS,RCH,1289.71,1441.473,0.377670405,0.622329595
11/28/1920,1920,DAY,AKR,1571.78,1617.382,0.527886996,0.472113004
11/28/1920,1920,BFF,CTI,1549.69,1443.913,0.727717231,0.272282769
11/28/1920,1920,ARI,CHI,1532.273,1542.54,0.578121934,0.421878066
11/28/1920,1920,RII,WJA,1496.08,1300,0.818006199,0.181993801
12/4/1920,1920,BFF,CBD,1560.198,1556.623,0.597425504,0.402574496
12/5/1920,1920,ROS,RCH,1284.673,1446.51,0.364140329,0.635859671
12/5/1920,1920,BFF,AKR,1572.764,1646.228,0.487821734,0.512178266
12/5/1920,1920,DHR,DTM,1431.594,1300,0.756149917,0.243850083
12/5/1920,1920,WGC,CBD,1300,1544.056,0.26294276,0.73705724
12/5/1920,1920,ARI,CHI,1537.98,1536.833,0.594059465,0.405940535
12/5/1920,1920,COL,CWP,1396.597,1300,0.717121359,0.282878641
12/11/1920,1920,UAP,CBD,1300,1536.826,0.271087912,0.728912088
12/12/1920,1920,CHI,AKR,1566.206,1645.856,0.478929441,0.521070559
12/18/1920,1920,RIC,CBD,1300,1506.055,0.307469188,0.692530812
12/19/1920,1920,CST,ARI,1300,1508.607,0.304349992,0.695650008
9/25/1921,1921,AKR,COL,1598.476,1444.042,0.779570231,0.220429769
10/2/1921,1921,RII,DTI,1507.161,1300,0.827310466,0.172689534
10/2/1921,1921,BFF,HAM,1550.424,1411.544,0.763800099,0.236199901
