season,week,game,date,weekday,hour,team1,team2,points_team1,points_team2,location_team1,location_team2,flag_playoffs,flag_neutral
2000,1,1,2000-09-03,Sun,13,Minnesota Vikings,Chicago Bears,30,27,home,away,FALSE,FALSE
2000,1,2,2000-09-03,Sun,13,Indianapolis Colts,Kansas City Chiefs,27,14,away,home,FALSE,FALSE
2000,1,3,2000-09-03,Sun,13,Washington Redskins,Carolina Panthers,20,17,home,away,FALSE,FALSE
2000,1,4,2000-09-03,Sun,13,Tampa Bay Buccaneers,New England Patriots,21,16,away,home,FALSE,FALSE
2000,1,5,2000-09-03,Sun,13,Atlanta Falcons,San Francisco 49ers,36,28,home,away,FALSE,FALSE
2000,1,6,2000-09-03,Sun,13,Baltimore Ravens,Pittsburgh Steelers,16,0,away,home,FALSE,FALSE
2000,1,7,2000-09-03,Sun,13,Jacksonville Jaguars,Cleveland Browns,27,7,away,home,FALSE,FALSE
2000,1,8,2000-09-03,Sun,13,Detroit Lions,New Orleans Saints,14,10,away,home,FALSE,FALSE
2000,1,9,2000-09-03,Sun,13,New York Giants,Arizona Cardinals,21,16,home,away,FALSE,FALSE
2000,1,10,2000-09-03,Sun,16,Philadelphia Eagles,Dallas Cowboys,41,14,away,home,FALSE,FALSE
2000,1,11,2000-09-03,Sun,16,Oakland Raiders,San Diego Chargers,9,6,home,away,FALSE,FALSE
2000,1,12,2000-09-03,Sun,16,Miami Dolphins,Seattle Seahawks,23,0,home,away,FALSE,FALSE
2000,1,13,2000-09-03,Sun,16,New York Jets,Green Bay Packers,20,16,away,home,FALSE,FALSE
2000,1,14,2000-09-03,Sun,20,Buffalo Bills,Tennessee Titans,16,13,home,away,FALSE,FALSE
2000,1,15,2000-09-04,Mon,21,St. Louis Rams,Denver Broncos,41,36,home,away,FALSE,FALSE
2000,2,1,2000-09-10,Sun,12,Minnesota Vikings,Miami Dolphins,13,7,home,away,FALSE,FALSE
2000,2,2,2000-09-10,Sun,13,Cleveland Browns,Cincinnati Bengals,24,7,away,home,FALSE,FALSE
2000,2,3,2000-09-10,Sun,13,Oakland Raiders,Indianapolis Colts,38,31,away,home,FALSE,FALSE
2000,2,4,2000-09-10,Sun,13,Buffalo Bills,Green Bay Packers,27,18,home,away,FALSE,FALSE
2000,2,5,2000-09-10,Sun,13,Tampa Bay Buccaneers,Chicago Bears,41,0,home,away,FALSE,FALSE
2000,2,6,2000-09-10,Sun,13,Baltimore Ravens,Jacksonville Jaguars,39,36,home,away,FALSE,FALSE
2000,2,7,2000-09-10,Sun,13,New York Giants,Philadelphia Eagles,33,18,away,home,FALSE,FALSE
2000,2,8,2000-09-10,Sun,13,Tennessee Titans,Kansas City Chiefs,17,14,home,away,FALSE,FALSE
2000,2,9,2000-09-10,Sun,16,New Orleans Saints,San Diego Chargers,28,27,away,home,FALSE,FALSE
2000,2,10,2000-09-10,Sun,16,Carolina Panthers,San Francisco 49ers,38,22,away,home,FALSE,FALSE
2000,2,11,2000-09-10,Sun,16,St. Louis Rams,Seattle Seahawks,37,34,away,home,FALSE,FALSE
2000,2,12,2000-09-10,Sun,16,Detroit Lions,Washington Redskins,15,10,home,away,FALSE,FALSE
2000,2,13,2000-09-10,Sun,16,Denver Broncos,Atlanta Falcons,42,14,home,away,FALSE,FALSE
2000,2,14,2000-09-10,Sun,20,Arizona Cardinals,Dallas Cowboys,32,31,home,away,FALSE,FALSE
2000,2,15,2000-09-11,Mon,21,New York Jets,New England Patriots,20,19,home,away,FALSE,FALSE
2000,3,1,2000-09-17,Sun,13,Jacksonville Jaguars,Cincinnati Bengals,13,0,home,away,FALSE,FALSE
2000,3,2,2000-09-17,Sun,13,St. Louis Rams,San Francisco 49ers,41,24,home,away,FALSE,FALSE
2000,3,3,2000-09-17,Sun,13,Cleveland Browns,Pittsburgh Steelers,23,20,home,away,FALSE,FALSE
2000,3,4,2000-09-17,Sun,13,Green Bay Packers,Philadelphia Eagles,6,3,home,away,FALSE,FALSE
2000,3,5,2000-09-17,Sun,13,Atlanta Falcons,Carolina Panthers,15,10,away,home,FALSE,FALSE
2000,3,6,2000-09-17,Sun,13,New York Jets,Buffalo Bills,27,14,home,away,FALSE,FALSE
2000,3,7,2000-09-17,Sun,13,Tampa Bay Buccaneers,Detroit Lions,31,10,away,home,FALSE,FALSE
2000,3,8,2000-09-17,Sun,15,New York Giants,Chicago Bears,14,7,away,home,FALSE,FALSE
2000,3,9,2000-09-17,Sun,16,Denver Broncos,Oakland Raiders,33,24,away,home,FALSE,FALSE
2000,3,10,2000-09-17,Sun,16,Kansas City Chiefs,San Diego Chargers,42,10,home,away,FALSE,FALSE
2000,3,11,2000-09-17,Sun,16,Seattle Seahawks,New Orleans Saints,20,10,home,away,FALSE,FALSE
2000,3,12,2000-09-17,Sun,16,Minnesota Vikings,New England Patriots,21,13,away,home,FALSE,FALSE
2000,3,13,2000-09-17,Sun,20,Miami Dolphins,Baltimore Ravens,19,6,home,away,FALSE,FALSE
2000,3,14,2000-09-18,Mon,21,Dallas Cowboys,Washington Redskins,27,21,away,home,FALSE,FALSE
2000,4,1,2000-09-24,Sun,13,Tennessee Titans,Pittsburgh Steelers,23,20,away,home,FALSE,FALSE
2000,4,2,2000-09-24,Sun,13,Baltimore Ravens,Cincinnati Bengals,37,0,home,away,FALSE,FALSE
2000,4,3,2000-09-24,Sun,13,Detroit Lions,Chicago Bears,21,14,away,home,FALSE,FALSE
2000,4,4,2000-09-24,Sun,13,Philadelphia Eagles,New Orleans Saints,21,7,away,home,FALSE,FALSE
2000,4,5,2000-09-24,Sun,13,St. Louis Rams,Atlanta Falcons,41,20,away,home,FALSE,FALSE
2000,4,6,2000-09-24,Sun,13,Miami Dolphins,New England Patriots,10,3,home,away,FALSE,FALSE
2000,4,7,2000-09-24,Sun,13,San Francisco 49ers,Dallas Cowboys,41,24,away,home,FALSE,FALSE
2000,4,8,2000-09-24,Sun,16,Green Bay Packers,Arizona Cardinals,29,3,away,home,FALSE,FALSE
2000,4,9,2000-09-24,Sun,16,Seattle Seahawks,San Diego Chargers,20,12,away,home,FALSE,FALSE
2000,4,10,2000-09-24,Sun,16,New York Jets,Tampa Bay Buccaneers,21,17,away,home,FALSE,FALSE
2000,4,11,2000-09-24,Sun,16,Kansas City Chiefs,Denver Broncos,23,22,away,home,FALSE,FALSE
2000,4,12,2000-09-24,Sun,16,Oakland Raiders,Cleveland Browns,36,10,home,away,FALSE,FALSE
2000,4,13,2000-09-24,Sun,20,Washington Redskins,New York Giants,16,6,away,home,FALSE,FALSE
2000,4,14,2000-09-25,Mon,21,Indianapolis Colts,Jacksonville Jaguars,43,14,home,away,FALSE,FALSE
2000,5,1,2000-10-01,Sun,13,Indianapolis Colts,Buffalo Bills,18,16,away,home,FALSE,FALSE
2000,5,2,2000-10-01,Sun,13,Minnesota Vikings,Detroit Lions,31,24,away,home,FALSE,FALSE
2000,5,3,2000-10-01,Sun,13,Dallas Cowboys,Carolina Panthers,16,13,away,home,FALSE,FALSE
2000,5,4,2000-10-01,Sun,13,St. Louis Rams,San Diego Chargers,57,31,home,away,FALSE,FALSE
2000,5,5,2000-10-01,Sun,13,Pittsburgh Steelers,Jacksonville Jaguars,24,13,away,home,FALSE,FALSE
2000,5,6,2000-10-01,Sun,13,Tennessee Titans,New York Giants,28,14,home,away,FALSE,FALSE
2000,5,7,2000-10-01,Sun,13,Baltimore Ravens,Cleveland Browns,12,0,away,home,FALSE,FALSE
2000,5,8,2000-10-01,Sun,16,Miami Dolphins,Cincinnati Bengals,31,16,away,home,FALSE,FALSE
2000,5,9,2000-10-01,Sun,16,New England Patriots,Denver Broncos,28,19,away,home,FALSE,FALSE
2000,5,10,2000-10-01,Sun,16,San Francisco 49ers,Arizona Cardinals,27,20,home,away,FALSE,FALSE
2000,5,11,2000-10-01,Sun,16,Chicago Bears,Green Bay Packers,27,24,away,home,FALSE,FALSE
2000,5,12,2000-10-01,Sun,16,Washington Redskins,Tampa Bay Buccaneers,20,17,home,away,FALSE,FALSE
2000,5,13,2000-10-01,Sun,20,Philadelphia Eagles,Atlanta Falcons,38,10,home,away,FALSE,FALSE
2000,5,14,2000-10-02,Mon,21,Kansas City Chiefs,Seattle Seahawks,24,17,home,away,FALSE,FALSE
2000,6,1,2000-10-08,Sun,13,Tennessee Titans,Cincinnati Bengals,23,14,away,home,FALSE,FALSE
2000,6,2,2000-10-08,Sun,13,Pittsburgh Steelers,New York Jets,20,3,away,home,FALSE,FALSE
2000,6,3,2000-10-08,Sun,13,Detroit Lions,Green Bay Packers,31,24,home,away,FALSE,FALSE
2000,6,4,2000-10-08,Sun,13,New England Patriots,Indianapolis Colts,24,16,home,away,FALSE,FALSE
2000,6,5,2000-10-08,Sun,13,Miami Dolphins,Buffalo Bills,22,13,home,away,FALSE,FALSE
2000,6,6,2000-10-08,Sun,13,Washington Redskins,Philadelphia Eagles,17,14,away,home,FALSE,FALSE
2000,6,7,2000-10-08,Sun,13,New Orleans Saints,Chicago Bears,31,10,away,home,FALSE,FALSE
2000,6,8,2000-10-08,Sun,16,Oakland Raiders,San Francisco 49ers,34,28,away,home,FALSE,FALSE
2000,6,9,2000-10-08,Sun,16,New York Giants,Atlanta Falcons,13,6,away,home,FALSE,FALSE
2000,6,10,2000-10-08,Sun,16,Carolina Panthers,Seattle Seahawks,26,3,home,away,FALSE,FALSE
2000,6,11,2000-10-08,Sun,16,Arizona Cardinals,Cleveland Browns,29,21,home,away,FALSE,FALSE
2000,6,12,2000-10-08,Sun,16,Denver Broncos,San Diego Chargers,21,7,away,home,FALSE,FALSE
2000,6,13,2000-10-08,Sun,20,Baltimore Ravens,Jacksonville Jaguars,15,10,away,home,FALSE,FALSE
2000,6,14,2000-10-09,Mon,21,Minnesota Vikings,Tampa Bay Buccaneers,30,23,home,away,FALSE,FALSE
2000,7,1,2000-10-15,Sun,13,Oakland Raiders,Kansas City Chiefs,20,17,away,home,FALSE,FALSE
2000,7,2,2000-10-15,Sun,13,Buffalo Bills,San Diego Chargers,27,24,home,away,FALSE,FALSE
2000,7,3,2000-10-15,Sun,13,Pittsburgh Steelers,Cincinnati Bengals,15,0,home,away,FALSE,FALSE
2000,7,4,2000-10-15,Sun,13,Washington Redskins,Baltimore Ravens,10,3,home,away,FALSE,FALSE
2000,7,5,2000-10-15,Sun,13,St. Louis Rams,Atlanta Falcons,45,29,home,away,FALSE,FALSE
2000,7,6,2000-10-15,Sun,13,New York Giants,Dallas Cowboys,19,14,home,away,FALSE,FALSE
2000,7,7,2000-10-15,Sun,13,New Orleans Saints,Carolina Panthers,24,6,home,away,FALSE,FALSE
2000,7,8,2000-10-15,Sun,16,Indianapolis Colts,Seattle Seahawks,37,24,away,home,FALSE,FALSE
2000,7,9,2000-10-15,Sun,16,New York Jets,New England Patriots,34,17,away,home,FALSE,FALSE
2000,7,10,2000-10-15,Sun,16,Denver Broncos,Cleveland Browns,44,10,home,away,FALSE,FALSE
2000,7,11,2000-10-15,Sun,16,Philadelphia Eagles,Arizona Cardinals,33,14,away,home,FALSE,FALSE
2000,7,12,2000-10-15,Sun,16,Green Bay Packers,San Francisco 49ers,31,28,home,away,FALSE,FALSE
2000,7,13,2000-10-15,Sun,20,Minnesota Vikings,Chicago Bears,28,16,away,home,FALSE,FALSE
2000,7,14,2000-10-16,Mon,21,Tennessee Titans,Jacksonville Jaguars,27,13,home,away,FALSE,FALSE
2000,8,1,2000-10-19,Thu,20,Detroit Lions,Tampa Bay Buccaneers,28,14,away,home,FALSE,FALSE
2000,8,2,2000-10-22,Sun,13,Cincinnati Bengals,Denver Broncos,31,21,home,away,FALSE,FALSE
2000,8,3,2000-10-22,Sun,13,Dallas Cowboys,Arizona Cardinals,48,7,home,away,FALSE,FALSE
2000,8,4,2000-10-22,Sun,13,Indianapolis Colts,New England Patriots,30,23,home,away,FALSE,FALSE
2000,8,5,2000-10-22,Sun,13,Kansas City Chiefs,St. Louis Rams,54,34,home,away,FALSE,FALSE
2000,8,6,2000-10-22,Sun,13,Minnesota Vikings,Buffalo Bills,31,27,home,away,FALSE,FALSE
2000,8,7,2000-10-22,Sun,13,Carolina Panthers,San Francisco 49ers,34,16,home,away,FALSE,FALSE
2000,8,8,2000-10-22,Sun,13,Tennessee Titans,Baltimore Ravens,14,6,away,home,FALSE,FALSE
2000,8,9,2000-10-22,Sun,13,Philadelphia Eagles,Chicago Bears,13,9,home,away,FALSE,FALSE
