season,week,team,expected_value
2019,1,CHI,1.21462864185413
2019,1,NO,1.125112647084925
2019,1,DAL,1.1223738384626585
2019,1,PHI,1.0914407081436301
2019,1,NE,1.0904057463244916
2019,1,SEA,1.0469604192987678
2019,1,TB,0.9964137005890717
2019,1,MIN,0.9861504138963391
2019,1,KC,0.967722310604219
2019,1,LAC,0.9318083206820226
2019,1,BAL,0.9117662885100236
2019,1,DET,0.8905890454409214
2019,1,OAK,0.8536189067802296
2019,1,TEN,0.8343526601289226
2019,1,LAR,0.8290674937560878
2019,1,BUF,0.8133561231534195
2019,1,NYJ,0.79112067233513506
2019,1,CAR,0.7754093017324669
2019,1,CLE,0.770124135359632
2019,1,DEN,0.750857888708325
2019,1,ARI,0.7138877500476332
2019,1,MIA,0.6927105069785311
2019,1,IND,0.672668474806532
2019,1,JAX,0.6367544848843356
2019,1,ATL,0.6183263815922156
2019,1,SF,0.6080630948994828
2019,1,CIN,0.5575163761897868
2019,1,PIT,0.514071049164063
2019,1,WAS,0.5130360873449245
2019,1,NYG,0.48210295702589606
2019,1,HOU,0.47936414840362956
2019,1,GB,0.38984815363442443
2019,2,BAL,1.135263463889206
2019,2,CAR,1.0280101089402043
2019,2,KC,1.0074435387174876
2019,2,NE,1.001182942784056
2019,2,HOU,0.9464142610276867
2019,2,TEN,0.9007526348606282
2019,2,LAR,0.8902633163841253
2019,2,CHI,0.8879354335931341
2019,2,DAL,0.8691577499535122
2019,2,PIT,0.8624893998245738
2019,2,LAC,0.854709502021947
2019,2,NYG,0.8433861055461037
2019,2,NYJ,0.8355825150844987
2019,2,CIN,0.82894654554319
2019,2,PHI,0.81384987927794
2019,2,MIN,0.7718085189663918
2019,2,GB,0.7505359637392489
2019,2,ATL,0.7084946034277007
2019,2,SF,0.6933979371624507
2019,2,CLE,0.68676196762114206
2019,2,BUF,0.6789583771595369
2019,2,DET,0.6676349806836938
2019,2,SEA,0.6598550828810668
2019,2,WAS,0.6531867327521284
2019,2,DEN,0.6344090491125066
2019,2,NO,0.6320811663215153
2019,2,IND,0.6215918478450125
2019,2,JAX,0.5759302216779539
2019,2,MIA,0.5211615399215848
2019,2,OAK,0.5149009439881531
2019,2,TB,0.4943343737654364
2019,2,ARI,0.3870810188164347
2019,3,NE,1.3077176426082882
2019,3,MIN,1.0859933041665866
2019,3,BUF,1.0544108041094487
2019,3,LAC,1.0245865110459422
2019,3,PHI,1.0119657417866388
2019,3,GB,1.0023771586467718
2019,3,LAR,0.983541523621554
2019,3,IND,0.9759897971110105
2019,3,TB,0.9588330028924958
2019,3,KC,0.9559374471009792
2019,3,DAL,0.943072284418265
2019,3,CHI,0.9200739090550499
2019,3,SEA,0.85120748070717
2019,3,TEN,0.8394084019894175
2019,3,CAR,0.817651881023912
2019,3,SF,0.7601302063763374
2019,3,PIT,0.736214075459809
2019,3,ARI,0.6786924008122344
2019,3,JAX,0.6569358798467289
2019,3,NO,0.6451368011289763
2019,3,WAS,0.5762703727810964
2019,3,MIA,0.5532719974178815
2019,3,BAL,0.5404068347351673
2019,3,NYG,0.5375112789436506
2019,3,ATL,0.5203544847251359
2019,3,CLE,0.5128027582145923
2019,3,DEN,0.4939671231893745
2019,3,DET,0.4843785400495076
2019,3,HOU,0.4717577707902041
2019,3,CIN,0.4419334777266978
2019,3,OAK,0.4103509776695597
2019,3,NYJ,0.18862663922785813
2019,4,IND,1.3017839652849619
2019,4,PIT,1.2921494833437863
2019,4,BAL,1.285019958537527
2019,4,LAR,1.1999221560748168
2019,4,SEA,1.1466737995747271
2019,4,NE,1.117790579098533
2019,4,HOU,1.0786410311958763
2019,4,CHI,1.0704707823325401
2019,4,NO,1.062516178339033
2019,4,NYG,1.0234033811518428
2019,4,ATL,0.9856602539579467
2019,4,KC,0.9369630749134978
2019,4,GB,0.9138190588895139
2019,4,MIA,0.8934510195723817
2019,4,DEN,0.8681282861716483
2019,4,JAX,0.8246225413381039
2019,4,LAC,0.7992998079373705
2019,4,PHI,0.7789317686202383
2019,4,DET,0.7557877525962544
2019,4,TEN,0.7070905735518056
2019,4,WAS,0.6693474463579094
2019,4,DAL,0.6302346491707194
2019,4,MIN,0.6222800451772121
2019,4,CAR,0.614109796313876
