season,week,game,date,weekday,hour,team1,team2,points_team1,points_team2,location_team1,location_team2,flag_playoffs,flag_neutral
2019,1,1,2019-09-05,Thu,20,GB,CHI,10,3,away,home,FALSE,FALSE
2019,1,2,2019-09-08,Sun,13,BAL,MIA,59,10,away,home,FALSE,FALSE
2019,1,3,2019-09-08,Sun,13,MIN,ATL,28,12,home,away,FALSE,FALSE
2019,1,4,2019-09-08,Sun,13,LAR,CAR,30,27,away,home,FALSE,FALSE
2019,1,5,2019-09-08,Sun,13,KC,JAX,40,26,away,home,FALSE,FALSE
2019,1,6,2019-09-08,Sun,13,TEN,CLE,43,13,away,home,FALSE,FALSE
2019,1,7,2019-09-08,Sun,13,PHI,WAS,32,27,home,away,FALSE,FALSE
2019,1,8,2019-09-08,Sun,13,BUF,NYJ,17,16,away,home,FALSE,FALSE
2019,1,9,2019-09-08,Sun,16,SEA,CIN,21,20,home,away,FALSE,FALSE
2019,1,10,2019-09-08,Sun,16,LAC,IND,30,24,home,away,FALSE,FALSE
2019,1,11,2019-09-08,Sun,16,SF,TB,31,17,away,home,FALSE,FALSE
2019,1,12,2019-09-08,Sun,16,DAL,NYG,35,17,home,away,FALSE,FALSE
2019,1,13,2019-09-08,Sun,16,DET,ARI,27,27,away,home,FALSE,FALSE
2019,1,14,2019-09-08,Sun,20,NE,PIT,33,3,home,away,FALSE,FALSE
2019,1,15,2019-09-09,Mon,19,NO,HOU,30,28,home,away,FALSE,FALSE
2019,1,16,2019-09-09,Mon,22,OAK,DEN,24,16,home,away,FALSE,FALSE
2019,2,1,2019-09-12,Thu,20,TB,CAR,20,14,away,home,FALSE,FALSE
2019,2,2,2019-09-15,Sun,13,GB,MIN,21,16,home,away,FALSE,FALSE
2019,2,3,2019-09-15,Sun,13,SEA,PIT,28,26,away,home,FALSE,FALSE
2019,2,4,2019-09-15,Sun,13,BUF,NYG,28,14,away,home,FALSE,FALSE
2019,2,5,2019-09-15,Sun,13,NE,MIA,43,0,away,home,FALSE,FALSE
2019,2,6,2019-09-15,Sun,13,SF,CIN,41,17,away,home,FALSE,FALSE
2019,2,7,2019-09-15,Sun,13,DAL,WAS,31,21,away,home,FALSE,FALSE
2019,2,8,2019-09-15,Sun,13,IND,TEN,19,17,away,home,FALSE,FALSE
