season,week,team,pick_pct,win_prob,expected_value
2017,1,ARI,0.006,0.552,0.84
2017,1,ATL,0.135,0.7170000000000001,1.01
2017,1,BAL,0.001,0.434,0.67
2017,1,BUF,0.243,0.7490000000000001,1
2017,1,CAR,0.057999999999999996,0.653,0.96
2017,1,CHI,0.001,0.28300000000000003,0.51
2017,1,CIN,0.009000000000000001,0.5660000000000001,0.86
2017,1,CLE,0.001,0.212,0.48
2017,1,DAL,0.006999999999999999,0.696,1.06
2017,1,DEN,0.013999999999999999,0.578,0.87
2017,1,DET,0.002,0.44799999999999995,0.69
2017,1,GB,0.004,0.5589999999999999,0.85
2017,1,HOU,0.092,0.6659999999999999,0.95
2017,1,IND,0.002,0.39399999999999996,0.63
2017,1,JAX,0,0.33399999999999996,0.57
2017,1,KC,0.001,0.21,0.36
2017,1,LAC,0.002,0.42200000000000004,0.65
2017,1,LAR,0.044000000000000004,0.606,0.89
2017,1,MIA,NA,NA,NA
2017,1,MIN,0.004,0.616,0.94
2017,1,NE,0.073,0.79,1.17
2017,1,NO,0.002,0.384,0.59
2017,1,NYG,0.001,0.304,0.47
2017,1,NYJ,0.002,0.251,0.52
2017,1,OAK,0.006999999999999999,0.434,0.66
2017,1,PHI,0.003,0.512,0.78
2017,1,PIT,0.282,0.7879999999999999,1.05
2017,1,SEA,0.001,0.441,0.67
2017,1,SF,0.001,0.34700000000000003,0.57
2017,1,TB,NA,NA,NA
2017,1,TEN,0.003,0.5660000000000001,0.86
2017,1,WAS,0.002,0.488,0.74
2017,2,ARI,0.073,0.723,0.95
2017,2,ATL,0.001,0.614,0.84
2017,2,BAL,0.10800000000000001,0.746,0.96
2017,2,BUF,0,0.295,0.42
2017,2,CAR,0.028999999999999998,0.705,0.95
2017,2,CHI,0,0.268,0.38
2017,2,CIN,0.012,0.6809999999999999,0.92
2017,2,CLE,0,0.254,0.4
2017,2,DAL,0.002,0.552,0.75
2017,2,DEN,0,0.44799999999999995,0.61
2017,2,DET,0.002,0.395,0.54
2017,2,GB,0.001,0.386,0.52
2017,2,HOU,0.001,0.319,0.44
2017,2,IND,0,0.27699999999999997,0.41
2017,2,JAX,0.002,0.483,0.66
2017,2,KC,0.01,0.65,0.88
2017,2,LAC,0.005,0.62,0.84
2017,2,LAR,0.004,0.603,0.82
2017,2,MIA,0.001,0.38,0.52
2017,2,MIN,0,0.22699999999999998,0.31
2017,2,NE,0.011000000000000001,0.6970000000000001,0.94
2017,2,NO,0,0.303,0.42
2017,2,NYG,0.002,0.605,0.82
2017,2,NYJ,0,0.132,0.36
2017,2,OAK,0.47600000000000003,0.868,1
2017,2,PHI,0,0.35,0.48
2017,2,PIT,0.009000000000000001,0.773,1.05
2017,2,SEA,0.20600000000000002,0.87,1.11
2017,2,SF,0,0.13,0.25
2017,2,TB,0.034,0.732,0.98
2017,2,TEN,0.005,0.517,0.7
2017,2,WAS,0.001,0.397,0.54
2018,1,ARI,0.008,0.5660000000000001,0.84
2018,1,ATL,0.004,0.505,0.76
2018,1,BAL,0.22399999999999998,0.765,1.02
2018,1,BUF,0.001,0.235,0.47
2018,1,CAR,0.009000000000000001,0.595,0.89
2018,1,CHI,0.001,0.28,0.48
2018,1,CIN,0.006,0.502,0.75
2018,1,CLE,0.003,0.377,0.6
2018,1,DAL,0.001,0.405,0.61
2018,1,DEN,0.005,0.623,0.93
2018,1,DET,0.109,0.732,1.04
2018,1,GB,0.113,0.72,1.01
2018,1,HOU,0.001,0.305,0.47
2018,1,IND,0.005,0.498,0.75
2018,1,JAX,0.008,0.581,0.87
2018,1,KC,0.002,0.36700000000000005,0.55
2018,1,LAC,0.006,0.633,0.95
2018,1,LAR,0.026000000000000002,0.7,1.03
2018,1,MIA,0.002,0.495,0.75
2018,1,MIN,0.053,0.705,1.03
2018,1,NE,0.024,0.695,1.03
2018,1,NO,0.306,0.8009999999999999,1.04
2018,1,NYG,0.002,0.419,0.63
2018,1,NYJ,0.001,0.268,0.46
2018,1,OAK,0.002,0.3,0.46
2018,1,PHI,0.006,0.495,0.74
2018,1,PIT,0.055999999999999994,0.623,0.9
2018,1,SEA,0.002,0.377,0.57
2018,1,SF,0.001,0.295,0.47
2018,1,TB,0,0.19899999999999998,0.45
2018,1,TEN,0.012,0.505,0.75
2018,1,WAS,0.002,0.434,0.65
2018,2,ARI,0,0.149,0.37
2018,2,ATL,0.009000000000000001,0.6829999999999999,0.99
2018,2,BAL,0.006,0.509,0.74
2018,2,BUF,0.001,0.268,0.51
2018,2,CAR,0.002,0.317,0.46
2018,2,CHI,0.006999999999999999,0.664,0.96
2018,2,CIN,0.002,0.491,0.71
2018,2,CLE,0,0.21,0.4
2018,2,DAL,0.004,0.602,0.87
2018,2,DEN,0.034,0.684,0.97
